#ID,RA,DEC,RA_err,Dec_err
842.000000,53.990496,-28.157722,7.114031,7.114031
853.000000,53.345911,-27.337062,5.330164,5.330164
888.000000,53.527596,-27.149575,6.586838,6.586838
890.000000,53.548593,-26.988573,5.623003,5.623003
898.000000,53.467078,-27.355149,5.468807,5.468807
910.000000,53.559463,-27.546155,5.799601,5.799601
925.000000,53.522645,-27.877816,5.977529,5.977529
932.000000,53.816938,-27.184944,6.353019,6.353019
938.000000,53.623190,-27.718930,5.632335,5.632335
941.000000,53.632749,-27.790604,5.405515,5.405515
950.000000,53.750720,-27.123704,5.484812,5.484812
952.000000,53.698197,-28.047404,5.939351,5.939351
969.000000,53.665176,-28.181981,5.460457,5.460457
974.000000,53.466156,-28.171159,7.334721,7.334721
1037.000000,53.905939,-27.748426,5.749527,5.749527
1049.000000,53.971232,-28.001143,5.223884,5.223884
1150.000000,53.414725,-27.192569,6.333170,6.333170
1153.000000,53.693006,-27.370158,7.022865,7.022865
1154.000000,53.672997,-27.942532,5.952396,5.952396
1242.000000,53.937917,-27.913239,5.921354,5.921354
1261.000000,53.819620,-27.670496,5.509164,5.509164
